date,room_number,room_type,number_of_guests,check_in,check_out,stayover,occupancy_rate,season,day_of_week,cleaning_type,cleaning_time_minutes,housekeeper_team,inspection_result,reclean_required,cleaning_product_ml,room_readiness_time,ready_by_13
2025-01-01,101,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,27.2,Team A,Pass,False,78.7,09:36,True
2025-01-01,102,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,18.2,Team B,Pass,False,80.2,10:51,True
2025-01-01,103,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,21.3,Team C,Pass,False,78.4,10:32,True
2025-01-01,104,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,23.8,Team D,Pass,False,74.0,10:39,True
2025-01-01,106,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,29.1,Team F,Pass,False,82.4,08:50,True
2025-01-01,107,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,19.4,Team A,Pass,False,62.9,10:00,True
2025-01-01,108,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,16.1,Team B,Pass,False,72.8,08:23,True
2025-01-01,109,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,33.7,Team C,Pass,False,54.5,10:36,True
2025-01-01,110,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,22.0,Team D,Pass,False,75.4,09:39,True
2025-01-01,112,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,23.1,Team F,Pass,False,54.0,10:55,True
2025-01-01,113,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,29.1,Team A,Pass,False,82.2,10:59,True
2025-01-01,114,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,34.8,Team B,Pass,False,150.9,09:54,True
2025-01-01,115,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,27.4,Team C,Pass,False,75.2,09:49,True
2025-01-01,116,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,23.8,Team D,Fail,True,50.5,09:22,True
2025-01-01,117,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,23.2,Team E,Pass,False,95.7,11:33,True
2025-01-01,118,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,28.1,Team F,Pass,False,98.9,09:53,True
2025-01-01,119,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,30.3,Team A,Pass,False,74.9,09:34,True
2025-01-01,120,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,17.6,Team B,Pass,False,77.4,09:41,True
2025-01-01,121,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,23.4,Team C,Pass,False,69.7,08:56,True
2025-01-01,124,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,38.5,Team F,Pass,False,104.0,10:10,True
2025-01-01,125,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,16.7,Team A,Pass,False,61.6,11:03,True
2025-01-01,126,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,24.2,Team B,Pass,False,66.2,12:01,True
2025-01-01,127,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,39.4,Team C,Fail,True,124.3,10:50,True
2025-01-01,128,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,20.3,Team D,Pass,False,56.9,10:47,True
2025-01-01,129,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,35.8,Team E,Pass,False,91.0,09:05,True
2025-01-01,130,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,21.6,Team F,Pass,False,93.1,08:56,True
2025-01-01,132,Standard,1,False,False,True,0.885,Winter,Wednesday,Stayover,30.5,Team B,Pass,False,53.0,10:20,True
2025-01-01,133,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,34.0,Team C,Pass,False,125.9,09:29,True
2025-01-01,134,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,26.8,Team D,Pass,False,72.1,09:07,True
2025-01-01,135,Standard,1,True,True,False,0.885,Winter,Wednesday,Checkout,36.0,Team E,Fail,True,104.3,10:29,True
2025-01-01,136,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,25.1,Team F,Pass,False,77.4,10:01,True
2025-01-01,137,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,38.3,Team A,Pass,False,143.1,12:06,True
2025-01-01,138,Standard,1,True,True,False,0.885,Winter,Wednesday,Checkout,38.0,Team B,Fail,False,115.8,10:05,True
2025-01-01,139,Standard,2,True,True,False,0.885,Winter,Wednesday,Checkout,42.4,Team C,Pass,False,105.6,10:04,True
2025-01-01,140,Standard,2,False,False,True,0.885,Winter,Wednesday,Stayover,22.5,Team D,Pass,False,73.9,10:43,True
2025-01-01,201,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,21.1,Team E,Pass,False,106.9,09:19,True
2025-01-01,202,Superior,2,True,True,False,0.885,Winter,Wednesday,Checkout,46.0,Team F,Pass,False,129.1,10:36,True
2025-01-01,203,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,29.5,Team A,Pass,False,90.7,11:32,True
2025-01-01,204,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,37.8,Team B,Pass,False,137.8,10:27,True
2025-01-01,205,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,30.2,Team C,Pass,False,94.6,09:21,True
2025-01-01,206,Superior,3,True,True,False,0.885,Winter,Wednesday,Checkout,45.6,Team D,Pass,False,170.1,11:22,True
2025-01-01,207,Superior,3,True,True,False,0.885,Winter,Wednesday,Checkout,40.1,Team E,Pass,False,143.2,09:30,True
2025-01-01,208,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,26.9,Team F,Pass,False,95.9,11:23,True
2025-01-01,209,Superior,3,True,True,False,0.885,Winter,Wednesday,Checkout,47.6,Team A,Pass,False,168.1,10:35,True
2025-01-01,210,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,33.1,Team B,Pass,False,75.5,11:18,True
2025-01-01,211,Superior,4,True,True,False,0.885,Winter,Wednesday,Checkout,41.8,Team C,Fail,True,180.5,12:20,True
2025-01-01,212,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,32.3,Team D,Pass,False,108.2,09:56,True
2025-01-01,213,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,29.1,Team E,Pass,False,109.4,10:34,True
2025-01-01,214,Superior,1,False,False,True,0.885,Winter,Wednesday,Stayover,25.0,Team F,Pass,False,89.2,11:10,True
2025-01-01,215,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,35.0,Team A,Pass,False,107.2,10:07,True
2025-01-01,216,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,25.1,Team B,Pass,False,107.0,10:49,True
2025-01-01,217,Superior,1,False,False,True,0.885,Winter,Wednesday,Stayover,21.6,Team C,Pass,False,64.0,09:36,True
2025-01-01,218,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,32.5,Team D,Pass,False,72.1,11:47,True
2025-01-01,219,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,34.9,Team E,Pass,False,115.3,10:48,True
2025-01-01,220,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,30.3,Team F,Pass,False,116.2,08:51,True
2025-01-01,221,Superior,1,False,False,True,0.885,Winter,Wednesday,Stayover,30.1,Team A,Fail,True,98.0,11:46,True
2025-01-01,222,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,23.8,Team B,Fail,False,109.4,09:17,True
2025-01-01,223,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,38.4,Team C,Fail,True,132.4,10:57,True
2025-01-01,224,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,23.8,Team D,Pass,False,90.4,08:59,True
2025-01-01,225,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,25.9,Team E,Fail,True,111.0,09:39,True
2025-01-01,226,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,27.3,Team F,Pass,False,80.4,09:14,True
2025-01-01,227,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,28.9,Team A,Pass,False,100.5,09:37,True
2025-01-01,228,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,34.0,Team B,Pass,False,111.0,10:40,True
2025-01-01,229,Superior,1,False,False,True,0.885,Winter,Wednesday,Stayover,29.4,Team C,Pass,False,115.5,11:58,True
2025-01-01,230,Superior,1,False,False,True,0.885,Winter,Wednesday,Stayover,24.6,Team D,Pass,False,86.0,09:44,True
2025-01-01,231,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,23.3,Team E,Pass,False,79.8,11:39,True
2025-01-01,232,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,34.1,Team F,Pass,False,100.3,10:24,True
2025-01-01,233,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,32.1,Team A,Pass,False,99.7,09:54,True
2025-01-01,234,Superior,3,False,False,True,0.885,Winter,Wednesday,Stayover,41.8,Team B,Pass,False,124.5,11:03,True
2025-01-01,235,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,32.9,Team C,Pass,False,102.5,09:30,True
2025-01-01,236,Superior,2,False,False,True,0.885,Winter,Wednesday,Stayover,32.1,Team D,Pass,False,110.6,10:30,True
2025-01-01,237,Superior,1,False,False,True,0.885,Winter,Wednesday,Stayover,29.8,Team E,Pass,False,99.5,08:56,True
2025-01-01,238,Superior,2,True,True,False,0.885,Winter,Wednesday,Checkout,38.7,Team F,Pass,False,163.1,11:37,True
2025-01-01,239,Superior,3,True,True,False,0.885,Winter,Wednesday,Checkout,34.5,Team A,Pass,False,193.5,10:22,True
2025-01-01,240,Superior,4,False,False,True,0.885,Winter,Wednesday,Stayover,26.9,Team B,Pass,False,114.8,10:58,True
2025-01-01,301,Suite,1,True,True,False,0.885,Winter,Wednesday,Checkout,57.4,Team C,Pass,False,196.9,10:39,True
2025-01-01,302,Suite,4,False,False,True,0.885,Winter,Wednesday,Stayover,42.5,Team D,Pass,False,150.3,10:48,True
2025-01-01,303,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,48.5,Team E,Pass,False,138.6,10:38,True
2025-01-01,304,Suite,2,True,True,False,0.885,Winter,Wednesday,Checkout,55.9,Team F,Fail,True,224.4,09:49,True
2025-01-01,305,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,33.1,Team A,Fail,True,123.4,11:56,True
2025-01-01,306,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,42.1,Team B,Fail,True,144.9,11:30,True
2025-01-01,307,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,44.9,Team C,Pass,False,163.5,10:11,True
2025-01-01,308,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,38.6,Team D,Pass,False,122.6,10:44,True
2025-01-01,309,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,42.9,Team E,Pass,False,147.6,09:53,True
2025-01-01,310,Suite,3,True,True,False,0.885,Winter,Wednesday,Checkout,61.6,Team F,Pass,False,204.2,12:26,True
2025-01-01,311,Suite,1,False,False,True,0.885,Winter,Wednesday,Stayover,37.4,Team A,Pass,False,105.6,11:37,True
2025-01-01,312,Suite,4,False,False,True,0.885,Winter,Wednesday,Stayover,47.6,Team B,Pass,False,136.8,11:38,True
2025-01-01,313,Suite,4,False,False,True,0.885,Winter,Wednesday,Stayover,49.0,Team C,Pass,False,136.5,11:16,True
2025-01-01,314,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,37.8,Team D,Pass,False,160.5,12:17,True
2025-01-01,315,Suite,3,False,False,True,0.885,Winter,Wednesday,Stayover,37.8,Team E,Fail,False,136.7,11:57,True
2025-01-01,316,Suite,2,False,False,True,0.885,Winter,Wednesday,Stayover,44.8,Team F,Pass,False,152.8,12:15,True
2025-01-01,317,Suite,3,False,False,True,0.885,Winter,Wednesday,Stayover,46.6,Team A,Pass,False,150.3,09:05,True
